"","Year","State","total_sentiment","Elected"
"1",2008,"AK",0,"Elected"
"2",2009,"AK",1,"Elected"
"3",2010,"AK",1,"Elected"
"4",2011,"AK",-1,"Elected"
"5",2012,"AK",-1,"Elected"
"6",2013,"AK",1,"Elected"
"7",2014,"AK",1,"Elected"
"8",2015,"AK",0,"Elected"
"9",2016,"AK",0,"Elected"
"10",2017,"AK",0,"Elected"
"11",2008,"AL",-1,"Elected"
"12",2009,"AL",-2,"Elected"
"13",2010,"AL",-1,"Elected"
"14",2011,"AL",1,"Elected"
"15",2012,"AL",0,"Elected"
"16",2013,"AL",-4,"Elected"
"17",2014,"AL",-2,"Elected"
"18",2015,"AL",-5,"Elected"
"19",2016,"AL",-5,"Elected"
"20",2017,"AL",-3,"Elected"
"21",2008,"AR",0,"Elected"
"22",2009,"AR",1,"Elected"
"23",2010,"AR",0,"Elected"
"24",2011,"AR",-2,"Elected"
"25",2012,"AR",0,"Elected"
"26",2013,"AR",1,"Elected"
"27",2014,"AR",0,"Elected"
"28",2015,"AR",-1,"Elected"
"29",2016,"AR",0,"Elected"
"30",2017,"AR",0,"Elected"
"31",2008,"AZ",-3,"Elected"
"32",2009,"AZ",-1,"Elected"
"33",2010,"AZ",0,"Elected"
"34",2011,"AZ",1,"Elected"
"35",2012,"AZ",1,"Elected"
"36",2013,"AZ",-3,"Elected"
"37",2014,"AZ",0,"Elected"
"38",2015,"AZ",0,"Elected"
"39",2016,"AZ",3,"Elected"
"40",2017,"AZ",-1,"Elected"
"41",2008,"CA",-1,"Elected"
"42",2009,"CA",0,"Elected"
"43",2010,"CA",2,"Elected"
"44",2011,"CA",0,"Elected"
"45",2012,"CA",0,"Elected"
"46",2013,"CA",0,"Elected"
"47",2014,"CA",1,"Elected"
"48",2015,"CA",0,"Elected"
"49",2016,"CA",0,"Elected"
"50",2017,"CA",0,"Elected"
"51",2008,"CO",0,"Elected"
"52",2009,"CO",0,"Elected"
"53",2010,"CO",0,"Elected"
"54",2011,"CO",0,"Elected"
"55",2012,"CO",0,"Elected"
"56",2013,"CO",0,"Elected"
"57",2014,"CO",0,"Elected"
"58",2015,"CO",0,"Elected"
"59",2016,"CO",0,"Elected"
"60",2017,"CO",1,"Elected"
"61",2008,"CT",0,"Appointed"
"62",2009,"CT",1,"Appointed"
"63",2010,"CT",-1,"Appointed"
"64",2011,"CT",2,"Appointed"
"65",2012,"CT",0,"Appointed"
"66",2013,"CT",0,"Appointed"
"67",2014,"CT",0,"Appointed"
"68",2015,"CT",-1,"Appointed"
"69",2016,"CT",0,"Appointed"
"70",2017,"CT",-1,"Appointed"
"71",2008,"DE",0,"Appointed"
"72",2009,"DE",0,"Appointed"
"73",2010,"DE",0,"Appointed"
"74",2011,"DE",0,"Appointed"
"75",2012,"DE",0,"Appointed"
"76",2013,"DE",0,"Appointed"
"77",2014,"DE",0,"Appointed"
"78",2015,"DE",0,"Appointed"
"79",2016,"DE",0,"Appointed"
"80",2017,"DE",-1,"Appointed"
"81",2008,"FL",-3,"Elected"
"82",2009,"FL",-2,"Elected"
"83",2010,"FL",-3,"Elected"
"84",2011,"FL",-6,"Elected"
"85",2012,"FL",-4,"Elected"
"86",2013,"FL",0,"Elected"
"87",2014,"FL",-2,"Elected"
"88",2015,"FL",0,"Elected"
"89",2016,"FL",-1,"Elected"
"90",2017,"FL",-2,"Elected"
"91",2008,"GA",-2,"Elected"
"92",2009,"GA",0,"Elected"
"93",2010,"GA",-3,"Elected"
"94",2011,"GA",0,"Elected"
"95",2012,"GA",-1,"Elected"
"96",2013,"GA",0,"Elected"
"97",2014,"GA",0,"Elected"
"98",2015,"GA",1,"Elected"
"99",2016,"GA",1,"Elected"
"100",2017,"GA",-1,"Elected"
"101",2008,"HI",1,"Elected"
"102",2009,"HI",-2,"Elected"
"103",2010,"HI",-2,"Elected"
"104",2011,"HI",1,"Elected"
"105",2012,"HI",0,"Elected"
"106",2013,"HI",-1,"Elected"
"107",2014,"HI",0,"Elected"
"108",2015,"HI",0,"Elected"
"109",2016,"HI",-1,"Elected"
"110",2017,"HI",0,"Elected"
"111",2008,"IA",0,"Elected"
"112",2009,"IA",0,"Elected"
"113",2010,"IA",-1,"Elected"
"114",2011,"IA",-3,"Elected"
"115",2012,"IA",-4,"Elected"
"116",2013,"IA",-3,"Elected"
"117",2014,"IA",-3,"Elected"
"118",2015,"IA",0,"Elected"
"119",2016,"IA",0,"Elected"
"120",2017,"IA",0,"Elected"
"121",2008,"ID",0,"Elected"
"122",2009,"ID",0,"Elected"
"123",2010,"ID",-1,"Elected"
"124",2011,"ID",0,"Elected"
"125",2012,"ID",0,"Elected"
"126",2013,"ID",0,"Elected"
"127",2014,"ID",0,"Elected"
"128",2015,"ID",0,"Elected"
"129",2016,"ID",0,"Elected"
"130",2017,"ID",0,"Elected"
"131",2008,"IL",-1,"Elected"
"132",2009,"IL",-1,"Elected"
